,Country,CRI_2021,Income_Group,angle,End_angle,Start_angle,Mid,C_End_angle,C_Start_angle,Median
80,Tajikistan,104.33,L,1.6071428571,311.7857142857,310.1785714286,310.9821428571,,,
180,Democratic Republic of Timor-Leste,118,L,1.6071428571,313.3928571429,311.7857142857,312.5892857143,,,
83,Togo,118,L,1.6071428571,315,313.3928571429,314.1964285714,,,
55,Burkina Faso,118,L,1.6071428571,316.6071428571,315,315.8035714286,,,
61,Eritrea,118,L,1.6071428571,318.2142857143,316.6071428571,317.4107142857,,,
58,Chad,118,L,1.6071428571,319.8214285714,318.2142857143,319.0178571429,,,
64,Guinea-Bissau,118,L,1.6071428571,321.4285714286,319.8214285714,320.625,,,
54,Benin,118,L,1.6071428571,323.0357142857,321.4285714286,322.2321428571,,,
101,India,16.67,LM,1.6071428571,181.6071428571,180,180.8035714286,181.6071428571,180,
89,Bolivia,19.67,LM,1.6071428571,183.2142857143,181.6071428571,182.4107142857,183.2142857143,181.6071428571,
121,Sudan,19.83,LM,1.6071428571,184.8214285714,183.2142857143,184.0178571429,184.8214285714,183.2142857143,
87,Bangladesh,23.5,LM,1.6071428571,186.4285714286,184.8214285714,185.625,186.4285714286,184.8214285714,
102,Indonesia,24.83,LM,1.6071428571,188.0357142857,186.4285714286,187.2321428571,188.0357142857,186.4285714286,
116,Pakistan,25,LM,1.6071428571,189.6428571429,188.0357142857,188.8392857143,189.6428571429,188.0357142857,
118,Philippines,26.67,LM,1.6071428571,191.25,189.6428571429,190.4464285714,191.25,189.6428571429,
113,Myanmar,31.33,LM,1.6071428571,192.8571428571,191.25,192.0535714286,,,
111,Mongolia,31.67,LM,1.6071428571,194.4642857143,192.8571428571,193.6607142857,,,
86,Angola,32.33,LM,1.6071428571,196.0714285714,194.4642857143,195.2678571429,,,
103,Kenya,33,LM,1.6071428571,197.6785714286,196.0714285714,196.875,,,
120,Sri Lanka,41.83,LM,1.6071428571,199.2857142857,197.6785714286,198.4821428571,,,
126,Vietnam,50.17,LM,1.6071428571,200.8928571429,199.2857142857,200.0892857143,,,
99,Ghana,53.33,LM,1.6071428571,202.5,200.8928571429,201.6964285714,,,
106,Lao People's Demo- cratic Republic,55.17,LM,1.6071428571,204.1071428571,202.5,203.3035714286,,,
114,Nicaragua,58,LM,1.6071428571,205.7142857143,204.1071428571,204.9107142857,,,
117,Papua New Guinea,58.67,LM,1.6071428571,207.3214285714,205.7142857143,206.5178571429,,,
108,Mauritania,63,LM,1.6071428571,208.9285714286,207.3214285714,208.125,,,
127,Zambia,63.33,LM,1.6071428571,210.5357142857,208.9285714286,209.7321428571,,,
107,Lesotho,64.67,LM,1.6071428571,212.1428571429,210.5357142857,211.3392857143,,,
91,Cameroon,67.33,LM,1.6071428571,213.75,212.1428571429,212.9464285714,,,67.33
115,Nigeria,70,LM,1.6071428571,215.3571428571,213.75,214.5535714286,,,
125,Vanuatu,73,LM,1.6071428571,216.9642857143,215.3571428571,216.1607142857,,,
94,Djibouti,73,LM,1.6071428571,218.5714285714,216.9642857143,217.7678571429,,,
100,Honduras,73.33,LM,1.6071428571,220.1785714286,218.5714285714,219.375,,,
90,Cambodia,75.83,LM,1.6071428571,221.7857142857,220.1785714286,220.9821428571,,,
123,Ukraine,76.17,LM,1.6071428571,223.3928571429,221.7857142857,222.5892857143,,,
